"spp","ncells","nrecords","maxent810m","maxent25km","maxent50km","clippedMaxent810m","clippedMaxent25km","clippedMaxent50km","convexHull","occurrenceBUffer"
"Salix petrophila",45,59,15704,70,30,9007,29,12,12243141291.0436,10578708467.5753
"Salix planifolia",72,162,19680,68,27,12588,35,14,23621827881.0605,17531496600.8559
"Salix prolixa",27,39,82480,192,72,30481,88,31,75395130027.1444,36225866059.4904
"Salix scouleriana",650,1379,211510,389,136,202330,343,114,273241704463.503,267310074172.787
"Salix sitchensis",274,688,82245,207,78,60738,140,51,110634891249.142,100272654502.032
"Salix tracyi",18,64,22331,103,39,6793,24,10,6137438659.24739,5349952398.863
"Saltugilia australis",166,219,169647,375,123,32120,85,33,64611649998.5338,45008221714.1295
"Saltugilia caruifolia",95,139,63225,249,99,6465,19,8,8572040389.53661,11375184005.0067
"Saltugilia latimeri",40,50,182694,376,126,15390,44,20,29621770916.2063,14238217066.4391
"Saltugilia splendens",335,462,65982,325,118,19041,59,25,39477519088.4237,34346760483.7298
"Salvia apiana",645,860,146088,336,112,46388,98,36,52441649273.8502,65221316729.3295
"Salvia brandegeei",21,53,1455,33,18,301,4,4,119131547.678454,910587031.264741
"Salvia carduacea",354,470,222869,381,112,130879,241,74,128146779425.032,141254613214.008
"Salvia clevelandii",143,249,94128,257,98,12915,34,13,12097269097.1206,14854634387.0875
"Salvia columbariae",1530,1887,342708,479,141,321633,465,138,294894157825.396,366942597714.108
"Salvia dorrii",645,978,169240,331,111,133741,251,86,207082154517.141,176617908500.597
"Salvia eremostachya",44,102,212022,394,120,3928,13,4,1853313838.17224,3779599119.63079
"Salvia funerea",104,272,89717,220,76,20098,43,16,14634053430.8646,15974210816.7133
"Salvia greatae",36,71,29395,100,35,2220,8,4,483170625.836782,1823021670.70036
"Salvia leucophylla",245,352,83779,284,96,26636,62,24,25183018617.89,31641319324.809
"Salvia mellifera",1041,1523,79922,266,102,67494,165,59,100016936158.361,121025867054.438
"Salvia mohavensis",179,293,232485,362,114,63422,99,32,39482017880.7605,46892188940.7911
"Salvia munzii",29,63,45469,239,97,2562,10,5,1183127951.38093,2736723388.26509
"Salvia pachyphylla",168,305,82522,252,99,10867,53,24,54994506487.9147,30780076073.9631
"Salvia sonomensis",217,331,113414,268,96,70524,156,58,130715672421.634,90111607750.9746
"Salvia spathacea",209,290,43617,174,69,29442,87,34,66609326069.7578,48411418321.8013
"Salvia vaseyi",78,152,112092,274,94,6656,24,10,6920227884.86276,10175012099.5092
"Sambucus nigra",1124,1458,280622,526,172,274845,502,158,325954461635.332,425076007497.094
"Sambucus racemosa",391,532,69837,256,92,65627,215,76,208966749358.337,172101684617.211
"Samolus parviflorus",104,140,113784,315,115,49891,119,46,128365961733.478,64705936880.3718
"Sanguisorba officinalis",11,20,24837,107,39,3340,17,6,5730799856.24258,3885898346.3123
"Sanicula arctopoides",80,126,12217,76,36,9864,59,31,39531683906.5636,33498665344.8614
"Sanicula arguta",402,556,48557,178,74,33745,88,34,34619187796.4732,58722751861.0043
"Sanicula bipinnata",239,299,171424,333,115,146302,283,92,161851053833.94,171407243514.499
"Sanicula bipinnatifida",590,796,251621,442,146,234981,391,125,252052074199.11,274892847634.474
"Sanicula crassicaulis",707,952,226734,454,151,210416,375,122,214832475525.613,253610373168.127
"Sanicula graveolens",262,324,128872,258,91,126736,242,80,276888486250.885,213670040108.153
"Sanicula hoffmannii",30,64,13385,84,38,3331,27,18,11045318330.2509,7862394003.0651
"Sanicula laciniata",116,164,63175,192,73,40245,107,38,44809834261.4838,49030045819.2
"Sanicula maritima",12,34,12612,91,45,1599,10,6,5788501114.40908,2784002257.06943
"Sanicula peckiana",50,70,9887,42,19,1768,4,1,392124950.87836,1600026975.66111
"Sanicula saxatilis",12,27,49330,215,85,1478,7,3,267261666.79449,997623383.648453
"Sanicula tracyi",52,86,36417,124,48,5690,22,9,10238463570.4904,6612562095.33663
"Sanicula tuberosa",568,730,265539,418,129,243417,389,123,242810989952.015,270610361537.306
"Sanvitalia abertii",50,77,24986,117,46,2699,9,4,1458659306.34045,3336835888.58893
"Sarcobatus vermiculatus",106,157,66057,199,74,44075,121,45,93697208747.7779,58860976053.3044
"Sarcodes sanguinea",194,270,161933,340,120,98160,217,77,199007161161.494,130892090803.075
"Saussurea americana",4,14,47232,250,88,242,2,2,1266819.20154866,363779592.013449
"Saxifraga cespitosa",3,3,34395,179,69,676,8,4,5350285600.61762,1976285979.03059
"Saxifraga hyperborea",5,6,18642,66,28,2204,10,5,360172333.143189,1770926624.37562
"Saxifraga mertensiana",76,117,87260,186,67,48800,102,37,85078978375.6248,48695147474.7113
"Saxifragopsis fragarioides",48,62,42208,171,60,10743,31,11,9028773521.06464,10538607993.3642
"Sceptridium multifidum",93,115,138111,290,99,98837,199,72,163270541613.723,111349443488.34
"Scheuchzeria palustris",6,8,18566,155,57,558,7,4,34995289.136608,794333242.080302
"Schoenoplectus acutus",476,637,319153,650,195,275756,539,166,376494998367.878,398171791775.978
"Schoenoplectus americanus",281,410,284233,459,141,220417,396,125,355154165826.682,327785463414.428
"Schoenoplectus californicus",262,398,97591,329,122,62106,207,77,284011352283.868,179285272063.405
"Schoenoplectus heterochaetus",1,3,623355,744,213,474,3,2,0,310982402.078605
"Schoenoplectus pungens",230,341,217971,466,161,152623,369,131,393133968029.598,337034903445.513
"Schoenoplectus saximontanus",7,28,321865,467,138,5116,20,12,13908220777.9091,4632357562.99246
"Schoenoplectus subterminalis",31,60,59068,152,55,21210,62,25,39357806377.9582,20369158674.1827
"Schoenoplectus tabernaemontani",28,40,114433,298,101,50049,123,42,235390912808.533,67694591187.6044
"Schoenus nigricans",20,65,214060,477,150,7051,27,11,21750267437.0189,6715502019.3972
"Scirpus congdonii",65,89,59563,195,68,28377,72,26,55754940211.3323,35475222853.0185
"Scirpus diffusus",40,67,86589,189,68,21874,62,22,24654491906.8849,21892885914.3453
"Scirpus microcarpus",637,847,220652,443,151,215505,421,140,315735206699.217,372219452168.799
"Scirpus pendulus",2,2,51103,266,102,353,2,2,0,384291250.214143
"Sclerocactus johnsonii",4,4,37389,144,53,1014,8,4,291908709.698607,994678039.008744
"Sclerocactus polyancistrus",28,37,61878,162,60,19512,52,23,27989168470.5202,15622053236.6222
"Sclerolinon digynum",21,30,60944,217,76,11804,53,21,36785532714.432,17730910683.147
"Scleropogon brevifolius",12,29,18572,104,38,698,4,2,83622343.910851,822403729.68417
"Scoliopus bigelovii",64,105,40120,142,60,19705,49,21,18628291921.2383,19084618329.856
"Scopulophila rixfordii",34,47,72066,196,70,14641,37,15,12806863246.8058,12344451327.6204
"Scribneria bolanderi",320,493,182356,411,132,167165,350,113,243775967194.499,244020496040.724
"Scrophularia atrata",48,104,12001,114,48,2914,10,4,1036406976.34411,3139884847.92766
"Scrophularia californica",899,1164,211205,441,157,196391,366,127,266992140644.795,326940776572.81
"Scrophularia desertorum",74,99,88117,207,77,47352,109,41,74475664121.3655,56465756424.5935
"Scrophularia lanceolata",14,22,29649,127,56,8795,38,12,20460094504.9576,10897916726.9228
"Scrophularia villosa",31,89,1215,17,13,380,5,4,160781851.633281,1511106263.30152
"Scutellaria antirrhinoides",174,226,146980,307,110,86667,135,44,75724897453.9262,74683410366.3552
"Scutellaria bolanderi",100,167,83754,253,89,30537,92,38,85263924733.5986,59174576204.5023
"Scutellaria californica",212,270,126391,266,93,80300,145,45,68414980204.078,71125537635.7139
"Scutellaria galericulata",14,20,48136,167,63,4299,26,15,19058273734.4541,7512319302.1917
"Scutellaria lateriflora",5,6,34622,274,113,785,4,1,36516268.6700546,725298781.406534
"Scutellaria mexicana",570,837,214812,331,100,133563,202,61,103415474326.664,119151572342.718
"Scutellaria nana",68,90,67054,185,74,35204,68,25,28350659157.9064,29667990639.4273
"Scutellaria siphocampyloides",398,542,146184,388,134,114839,275,100,215559990647.372,196820009796.662
"Scutellaria tuberosa",423,525,188251,366,126,178793,341,114,217137121611.116,235384446038.488
"Sedella leiocarpa",8,21,92298,296,108,1058,7,3,320614215.123335,1347707944.25588
"Sedella pentandra",13,20,202409,451,143,10467,42,21,27226682693.0135,10015199651.8777
"Sedella pumila",187,259,135009,325,114,72032,142,46,76429957376.4277,68587331662.9495
"Sedum albomarginatum",8,12,76796,291,104,590,7,3,213569122.381683,1075273928.29094
"Sedum divergens",7,12,12418,114,45,800,9,5,5592719407.11626,2746893248.79427
"Sedum lanceolatum",121,148,46413,196,72,34015,113,40,104655393423.587,60912190252.0126
"Sedum laxum",148,181,76278,165,60,36346,67,23,31585609893.7034,33503282998.0975
"Sedum niveum",47,88,42620,172,63,1413,6,3,10108056629.12,4616225497.55617
"Sedum oblanceolatum",3,5,64133,253,86,305,2,1,8896133.94678755,535690396.826579
"Sedum obtusatum",328,424,106000,253,84,75731,153,51,101228769658.214,88824174150.0158
"Sedum oreganum",2,2,53946,232,84,688,6,5,0,618033988.749849
"Sedum oregonense",13,14,38139,172,67,5555,20,8,6086020619.43148,5637120819.87781
"Sedum radiatum",99,116,141997,283,93,83150,175,64,152398559096.045,107878844284.657
"Sedum spathulifolium",351,456,177441,349,115,164902,300,97,246517589950.598,237911869478.142
"Sedum stenopetalum",37,49,69312,252,89,26324,97,39,157252920215.708,53021776498.251
"Selaginella asprella",111,142,125245,416,146,18608,59,25,51802049955.9474,27183258776.9541
"Selaginella bigelovii",556,785,165092,372,126,82543,180,66,111363197735.672,117555000604.798
"Selaginella cinerascens",70,101,51249,262,104,8095,28,11,6694193138.76132,9245107154.15392
"Selaginella eremophila",63,101,114527,280,99,6696,27,11,10732637038.2675,9449127784.33749
"Selaginella hansenii",113,154,113340,288,102,51878,105,37,67407903969.4565,59970634178.495
"Selaginella leucobryoides",12,20,114863,237,81,4281,15,8,5872507480.65976,3194647429.01453
"Selaginella oregana",17,27,15579,58,25,2827,9,4,985279807.518522,3113719231.73969
"Selaginella scopulorum",21,28,11879,114,43,4055,22,8,6208481673.74656,6256837514.53377
"Selaginella wallacei",103,147,125549,256,93,79362,146,47,74479719817.3567,69263081600.3519
"Selaginella watsonii",241,385,73978,207,76,42761,98,38,70647736050.6176,59343665909.7697
"Senecio aphanactis",41,61,55358,223,89,23410,74,31,66433504095.6012,39193193892.6602
"Senecio aronicoides",349,470,192577,389,125,170728,308,94,201128602289.874,199574977214.719
"Senecio astephanus",37,70,87336,309,112,15813,51,22,30350347318.3849,18461495730.3083
"Senecio blochmaniae",64,139,3149,42,24,1812,11,5,1569088056.86146,4481418530.34189
"Senecio californicus",274,440,150510,377,127,76352,181,66,132973546674.107,103994491218.144
"Senecio clarkianus",45,72,72340,232,81,15706,46,16,16894352013.1776,14895090129.211
"Senecio flaccidus",1211,1774,256517,440,131,247736,431,128,267516251686.812,339228534857.43
"Senecio fremontii",178,280,29451,110,46,25404,74,29,71220620113.2626,44213638306.0624
"Senecio hydrophiloides",34,49,91774,243,88,33301,75,28,38545932765.9097,27700406448.3343
"Senecio hydrophilus",99,141,164864,456,156,86050,208,73,140854754729.55,104439155816.011
"Senecio integerrimus",567,763,163938,292,99,158026,255,81,170422439582.754,188806061820.56
"Senecio lyonii",40,96,1019,15,11,376,5,4,198862325.462041,1703251283.65915
"Senecio mohavensis",223,315,121688,222,76,76401,140,47,72358671881.5392,73679750560.4039
"Senecio pattersonensis",18,27,3515,51,24,636,8,6,1910027971.68397,1819201583.99357
"Senecio scorzonella",229,331,44080,163,62,34654,86,32,35527210610.2105,43383000045.3677
"Senecio serra",59,92,114463,232,83,51632,113,37,59517553591.0966,51841501117.1752
"Senecio spartioides",86,135,76836,169,66,20699,51,22,31806706318.6782,22033384755.2095
"Senecio triangularis",539,772,93647,256,89,87568,213,69,180226344479.814,150845174458.174
"Senegalia greggii",247,349,196425,346,112,79045,136,44,70045348069.9105,77948257573.7243
"Senna armata",381,529,165338,253,79,106234,166,54,85839431993.094,93568584861.3684
"Senna covesii",50,80,170226,344,114,14367,39,14,14617881744.1565,11556876507.4735
"Sequoia sempervirens",263,449,51295,174,70,40550,93,34,37827510785.8441,47270023699.1844
"Sequoiadendron giganteum",73,181,59883,212,80,14348,43,18,12572642603.928,14756409276.1881
"Sericocarpus oregonensis",130,180,113212,255,86,64062,131,45,72607254792.964,62092258325.0679
"Sesbania herbacea",27,51,20968,75,26,5864,24,10,10076026008.7684,7281049632.84104
"Sesuvium verrucosum",174,262,202692,367,119,139954,262,87,214248128234.343,174953895225.53
"Setaria parviflora",237,372,146974,391,134,118447,251,89,220515209389.489,167931571750.99
"Shepherdia argentea",76,130,78620,247,99,17209,58,28,45812334250.0863,25171334444.1956
"Shepherdia canadensis",5,6,79229,258,88,419,2,1,2609739.00051156,419672776.581477
"Sibara deserti",63,96,111281,229,76,31023,73,24,32294985913.5238,28078606263.5743
"Sibara filifolia",6,6,26759,121,52,672,9,6,221471577.309593,1479621157.97544
"Sibaropsis hammittii",13,27,59864,193,71,760,6,4,406760686.619105,1019688186.11528
"Sibbaldia procumbens",171,220,32426,152,60,30836,128,47,125519356179.95,87943461463.406
"Sidalcea asprella",185,239,147860,291,100,102515,187,58,104937478020.121,101756987629.182
"Sidalcea calycosa",103,156,90650,255,97,39955,105,35,72150784154.0291,45170805339.4424
"Sidalcea celata",12,15,16698,154,57,3763,14,6,2484439270.0231,3648237936.50355
"Sidalcea covillei",13,28,23290,92,36,3079,12,6,1289308377.86964,2908693099.39862
"Sidalcea diploscypha",151,204,121006,295,101,65531,125,45,68854488051.9825,59301226890.4753
"Sidalcea elegans",9,11,20814,107,41,2677,8,4,940880629.005831,2262752087.06952
"Sidalcea gigantea",37,62,49014,123,46,6302,20,8,4259503992.43827,5734474721.02298
"Sidalcea glaucescens",179,266,81097,207,76,46200,96,35,57429731815.0689,43373650845.5586
"Sidalcea hartwegii",150,188,73531,196,75,57216,112,38,58709349493.9512,57191989589.5892
"Sidalcea hickmanii",79,177,107990,354,122,26665,80,32,97590899450.976,38319900639.7753
"Sidalcea hirsuta",84,121,94077,258,99,51917,107,37,45107098075.0127,42482237295.6339
"Sidalcea keckii",26,31,92734,267,101,13147,36,16,24212171446.0596,11953066364.817
"Sidalcea malachroides",76,123,33076,173,74,17473,58,26,34286307524.2635,26638186533.7592
"Sidalcea malviflora",584,899,84428,289,113,76923,207,78,202389704193.87,182341287153.366
"Sidalcea multifida",37,50,68691,200,76,7596,25,10,10863594859.3513,7803870686.04237
"Sidalcea neomexicana",53,103,238905,408,125,25627,73,25,32348424556.3722,27557558730.246
"Sidalcea oregana",425,680,119132,247,88,111523,202,66,153769880772.928,151274961759.896
"Sidalcea pedata",28,83,11738,108,43,646,4,2,85253212.7580057,929630924.721318
"Sidalcea ranunculacea",58,96,42266,207,74,8384,25,11,7185134591.82846,9301096415.19769
"Sidalcea reptans",35,48,128233,275,96,24607,66,24,24850835655.5403,21292896152.2647
"Sidalcea robusta",22,34,15046,90,39,1271,6,4,301355625.238035,1377280086.92866
"Sidalcea setosa",1,1,623355,744,213,468,4,1,0,309016994.374931
"Sidalcea sparsifolia",310,414,150653,392,140,47815,106,37,55833648291.6403,49940442198.2133
"Sidalcea stipularis",3,25,27964,177,57,147,3,2,1090034.61174588,363815866.397546
"Sidotheca caryophylloides",65,126,61400,290,113,9459,32,15,25554151977.9639,12306049241.4643
"Sidotheca emarginata",28,53,52299,254,100,1393,6,3,314395110.523114,1449220319.10434
"Sidotheca trilobata",148,269,61420,251,103,11775,38,17,19218072418.3118,21388793041.2568
"Silene antirrhina",350,448,210218,416,139,193391,380,128,331924252473.44,324146389739.703
"Silene aperta",39,72,30100,149,58,4705,15,5,3344419441.7922,5449352718.47742
"Silene bernardina",237,338,124673,285,99,92770,210,68,187816290864.543,140755228168.851
"Silene bolanderi",34,47,54603,170,62,10551,28,10,8394633580.74072,8782462807.28768
"Silene bridgesii",47,61,101163,211,74,43281,103,38,76689710138.9313,48435678383.7505
"Silene campanulata",167,219,131458,275,99,52413,88,28,39139975176.9786,40532231118.3911
"Silene douglasii",190,295,87127,223,80,54667,117,42,70037220909.5779,60889748175.9309
"Silene grayi",78,116,47866,193,66,17676,46,16,21430374826.6089,21107840409.9318
"Silene hookeri",61,76,74445,169,59,32905,72,23,25476212532.1974,26023420552.3403
"Silene invisa",55,73,22909,121,47,9219,33,12,12110579665.6293,11720298589.7243
"Silene laciniata",1040,1468,209472,372,122,197831,353,114,265875487027.323,294150724648.436
"Silene lemmonii",390,554,160216,319,111,150353,282,97,269953718095.534,232570997733.559
"Silene marmorensis",3,4,6905,105,39,398,5,2,79490053.2748675,847098864.250821
"Silene menziesii",114,161,131331,280,97,100444,199,69,157025365137.063,108548471671.112
"Silene nuda",37,52,60240,181,71,16698,43,17,22950557871.118,17363279171.6983
"Silene occidentalis",67,111,68755,170,62,25861,52,19,29001678862.9169,24193352168.9119
"Silene oregana",11,13,22241,159,66,4394,31,14,27057368818.3919,8684524126.61193
"Silene parishii",126,215,80693,246,90,7855,34,17,37123848852.7609,20467827308.6
"Silene salmonacea",2,2,6298,91,41,108,2,1,0,321564652.457688
"Silene sargentii",241,335,22364,91,39,20678,59,23,32795104267.9733,39135782298.4584
"Silene scouleri",16,46,10693,76,38,2023,14,10,11321621840.8879,5251395694.48298
"Silene serpentinicola",25,30,6240,28,16,1404,5,2,445565252.356974,1503397554.09507
"Silene suksdorfii",5,15,23583,135,58,774,8,2,727440811.998274,1156005503.91828
"Silene verecunda",452,716,80671,326,123,41799,218,89,275631466924.079,238146721765.884
"Simmondsia chinensis",332,558,209445,378,118,54262,107,35,51734299003.1205,52518563007.2848
"Sisyrinchium bellum",995,1340,149761,358,126,148336,349,121,291327715339.06,365217267389.089
"Sisyrinchium californicum",49,69,22201,88,38,12642,53,26,31976693835.3487,24013281046.0746
"Sisyrinchium elmeri",29,39,171832,324,110,28865,69,29,33171941225.367,22436984608.4777
"Sisyrinchium funereum",15,24,63830,159,55,1480,7,3,483230726.422518,1872432347.48281
"Sisyrinchium halophilum",41,53,198294,374,120,29568,74,31,66176913297.3422,27568521038.9493
"Sisyrinchium hitchcockii",1,1,623355,744,213,299,2,1,0,309016994.374978
"Sisyrinchium idahoense",76,94,152117,284,97,107804,191,62,117183367466.569,92415538380.8147
"Sisyrinchium longipes",2,10,98574,193,74,445,4,2,186069.922273208,329662764.012834
"Sium suave",24,35,265877,540,170,47712,116,46,101832984935.435,40498971015.6791
"Smelowskia ovalis",4,22,169,5,4,14,2,1,575475.792164178,363638590.907509
"Smilax californica",37,46,90535,258,88,28704,73,25,28719361244.8781,25747899962.7109
"Smilax jamesii",25,31,27592,131,45,5609,25,12,7250088298.55725,6409261850.99234
"Solanum americanum",377,492,221225,500,165,180980,355,118,225030310265.84,250377020821.118
"Solanum douglasii",719,1016,49474,184,73,42076,119,46,83160778570.6106,96389620375.684
"Solanum parishii",352,445,214742,436,150,109207,193,62,213764654931.909,131395671760.994
"Solanum umbelliferum",1290,2021,237781,437,149,192528,325,106,254687334868.726,264459548832.442
"Solanum wallacei",93,207,12863,82,38,1121,9,7,511890446.675316,3261016767.60595
"Solanum xanti",646,860,160198,366,119,124396,297,100,244238635134.605,242100494719.917
"Solidago confinis",204,365,73067,334,125,38088,135,53,163405026735.264,93489442164.1063
"Solidago elongata",603,912,180095,328,117,166875,292,97,250284307330.286,267260032662.329
"Solidago guiradonis",15,26,25468,197,83,891,5,2,122238096.073166,935058118.165615
"Solidago lepida",13,13,157783,357,121,33834,90,39,153556992002.298,42216342260.332
"Solidago multiradiata",328,486,46969,166,64,36646,102,39,87490429569.1713,66705277673.9608
"Solidago spathulata",124,272,19308,89,42,13669,58,27,37926076234.7997,34798677429.8126
"Solidago spectabilis",63,92,75644,213,83,35259,96,34,67057897488.7672,44872839026.5238
"Solidago velutina",1017,1513,287421,489,152,284412,477,145,328994860775.842,413820784591.678
"Sorbus californica",227,303,81264,231,78,71306,166,56,105268848867.422,99637286911.97
"Sorbus scopulina",122,168,101329,238,79,74911,150,50,113181139365.768,81427706745.0716
"Sorbus sitchensis",9,10,20358,133,55,1539,15,9,3738418427.48825,3746991778.29392
"Sparganium angustifolium",83,119,46946,159,59,30226,85,32,59273140253.0797,42983471266.37
"Sparganium emersum",76,104,168603,368,124,95658,201,71,215552493990.814,105544474457.118
"Sparganium eurycarpum",84,134,81683,397,150,45435,159,65,255777602666.479,137530808061.279
"Sparganium natans",34,41,88234,225,81,29390,73,28,31389776956.6224,25260720039.2604
"Spartina foliosa",100,164,27900,147,63,16750,64,26,99448165843.5676,35610938545.951
"Spartina gracilis",39,57,65651,192,65,8966,25,10,7622615693.41448,7437638666.54453
"Spergularia atrosperma",21,38,210996,459,146,35548,89,35,112592551954.912,37473650879.2876
"Spergularia canadensis",5,5,296,9,6,261,3,2,45384808.3119825,759984236.214245
"Spergularia macrotheca",324,535,85994,339,134,72820,209,83,159386134171.255,174051559547.695
"Spergularia marina",350,498,264404,476,150,218051,410,135,337810857012.247,294710325220.159
"Spermolepis echinata",1,2,623355,744,213,474,4,1,0,309121795.716246
"Sphaeralcea ambigua",1008,1520,285298,439,136,183672,258,80,144655951297.499,179234214773.413
"Sphaeralcea angustifolia",62,86,185393,277,87,56210,115,37,60468448789.101,44616565899.322
"Sphaeralcea coulteri",10,18,20525,58,24,2913,11,7,1616610647.50023,2663476644.78433
"Sphaeralcea emoryi",138,221,220589,349,112,110769,201,66,118107703143.981,108965774826.344
"Sphaeralcea grossulariifolia",4,4,49933,153,58,1451,5,4,150928210.88799,1091649628.29949
"Sphaeralcea orcuttii",36,63,38351,96,33,14416,35,12,12576269895.5683,13593013441.6735
"Sphaeralcea rusbyi",44,74,41930,143,53,7996,25,11,20109606726.2336,8929581040.01667
"Sphaeromeria cana",92,151,15526,84,37,12001,45,19,21290420134.3145,17971028587.2169
"Sphaeromeria potentilloides",32,38,54166,137,52,17980,54,22,20719425171.3782,17106082677.6526
"Sphenopholis obtusata",21,32,87279,221,78,14178,41,19,87419754650.8727,28950619174.0167
"Sphenosciadium capitellatum",283,401,101780,230,80,80017,173,61,150213837981.935,118122915215.193
"Spiraea douglasii",216,366,91841,234,77,60961,124,40,64460068415.6764,66815850452.2599
"Spiraea splendens",432,634,97305,241,80,74384,146,49,77611053744.1225,80613439962.7127
"Spiranthes porrifolia",113,131,138256,276,91,118910,236,79,238324992266.584,171485445930.15
"Spiranthes romanzoffiana",139,177,153610,315,114,138078,266,92,281179258324.179,196383683759.991
"Spirodela polyrhiza",30,38,261399,552,168,64018,156,56,175633325254.073,71847681993.0802
"Sporobolus airoides",271,408,268188,412,127,227689,374,117,261858813283.303,255905438430.126
"Sporobolus contractus",51,66,54477,158,55,11386,36,16,30279229822.9453,15501184354.9637
"Sporobolus cryptandrus",224,299,165609,400,130,75692,177,62,209786363618.1,149786362693.324
"Sporobolus flexuosus",54,76,161612,328,107,31542,76,29,54029920749.5366,27096728808.924
"Sporobolus wrightii",1,2,623355,744,213,252,2,1,0,309016994.374929
"Stachys ajugoides",184,270,139747,400,142,107659,276,95,238775972213.137,188528189046.659
"Stachys albens",431,579,147905,426,131,87025,254,84,214222739778.393,198086999808.29
"Stachys bergii",8,10,11534,49,23,2073,8,5,1838635435.35904,1906525097.24699
"Stachys bullata",427,642,63335,207,82,54029,134,49,107815440338.159,95465295015.7746
"Stachys chamissonis",68,103,15637,80,37,11662,60,28,41774051248.9892,30561390327.945
"Stachys mexicana",23,25,94273,241,84,20987,53,20,34422120199.4353,20712814334.2895
"Stachys pilosa",17,19,30845,105,45,6794,24,10,5421057634.42973,6967576696.68049
"Stachys pycnantha",108,159,126995,307,104,55093,151,57,189852357433.339,95166968104.6504
"Stachys rigida",937,1243,288314,490,155,280933,468,143,336844244968.611,373590590572.311
"Stachys stebbinsii",38,44,117225,280,105,13826,32,13,10937720879.6842,13987714522.2819
"Stachys stricta",46,51,67052,207,76,36676,81,28,35897882781.1001,35176583825.8873
"Stanleya elata",32,47,39139,142,60,8179,23,10,6072120366.3155,6222150610.71977
"Stanleya pinnata",395,600,165150,306,100,131857,237,75,173140260482.954,165756367474.567
"Stanleya viridiflora",9,12,46212,158,59,2229,9,4,1057547221.17926,1632509053.97323
"Staphylea bolanderi",62,103,68006,223,80,10405,37,17,24341371251.809,15442496650.4823
"Stebbinsoseris decipiens",10,17,20712,142,67,1297,13,8,762701300.992828,2108198212.74131
"Stebbinsoseris heterocarpa",308,439,196669,440,143,131624,265,89,142956798248.987,156272739090.822
"Stellaria borealis",62,93,130019,290,107,65407,157,62,142307560197.182,80799337860.4562
"Stellaria calycantha",69,78,116703,274,97,63448,152,57,142383267343.729,81954276461.6933
"Stellaria crispa",59,68,118997,254,92,45226,95,34,89718879762.6259,43017841435.0774
"Stellaria littoralis",28,56,3170,45,23,1017,15,9,10944443017.2352,6100066016.99306
"Stellaria longifolia",8,12,156593,296,98,4542,17,8,3221068689.24668,3273399123.73597
"Stellaria longipes",410,585,131038,263,89,120719,211,68,213462887697.197,151220437103.702
"Stellaria nitens",316,411,266011,495,161,248092,409,129,232874341026.956,275283901654.459
"Stellaria obtusa",55,77,55029,158,56,22123,66,25,59705193275.3343,29027404661.3719
"Stellaria umbellata",74,85,77630,232,78,46051,107,39,96545399583.3849,57350301372.5867
"Stemodia durantifolia",36,55,56883,281,113,3002,14,6,4992002004.52613,4640950995.13431
"Stenanthium occidentale",21,28,24578,127,45,5525,21,9,5755424587.43138,5902392108.36739
"Stenotus acaulis",158,236,85292,199,77,46850,108,40,50021041519.1913,50721448570.4229
"Stenotus lanuginosus",4,4,42249,141,56,2226,11,4,3523729456.46796,2276580506.97668
"Stephanomeria cichoriacea",135,216,41190,230,89,22287,84,34,51546016068.3145,44536578292.4969
"Stephanomeria diegensis",194,251,72441,284,108,21849,54,22,16560441057.7762,28363925640.4439
"Stephanomeria elata",137,170,54915,174,71,41498,131,55,188112361819.001,127563175061.116
"Stephanomeria exigua",866,1211,324367,523,156,279119,449,135,282867981261.831,320882072564.245
"Stephanomeria lactucina",168,223,98594,221,80,72651,147,53,92587013876.1338,76824540918.6109
"Stephanomeria paniculata",33,38,162107,359,124,41290,93,32,57728755610.8365,32676802468.5606
"Stephanomeria parryi",107,134,122832,239,79,69642,133,46,76007728121.1284,64354338619.9296
"Stephanomeria pauciflora",636,889,241725,365,113,221717,327,99,224430461520.212,232699524337.466
"Stephanomeria tenuifolia",194,258,106933,213,78,76965,151,50,110798806242.164,96119861825.7483
"Stephanomeria virgata",568,742,263065,487,157,258407,454,146,294900682832.589,353700863997.876
"Stillingia linearifolia",362,550,234396,406,122,98493,185,60,99949253530.9543,102008380595.24
"Stillingia paucidentata",90,124,81351,169,55,34932,76,33,44442926412.8952,39475308405.4072
"Stillingia spinulosa",150,183,126673,211,69,68276,119,38,54251908790.4275,59634620967.5162
"Stipa arida",28,40,45684,163,57,14144,45,20,30030112401.2525,14666869369.0484
"Stipa cernua",579,811,202353,400,133,182616,314,101,177375668711.161,219326239193.404
"Stipa comata",218,304,81570,192,70,50193,132,49,122460306024.798,95730318584.8232
"Stipa coronata",518,677,114328,295,102,59487,131,47,98659373368.923,84995508273.5602
"Stipa diegoensis",82,157,56644,216,95,2963,16,8,1985461647.22902,6030718521.23547
"Stipa divaricata",11,16,30909,130,53,1296,8,5,2332160934.15863,1972857727.60391
"Stipa exigua",3,5,43502,145,57,919,4,4,30798690.5913616,681966203.599288
"Stipa hymenoides",727,1059,216648,367,116,199774,340,112,252219374414.555,257638934709.408
"Stipa kingii",101,172,19231,74,33,14355,35,13,12892698486.5245,17046179352.2278
"Stipa latiglumis",34,44,77433,233,85,13155,52,26,51486069948.5064,23654894299.3577
"Stipa lemmonii",651,921,169899,309,109,166803,289,93,256078241827.183,247133324905.697
"Stipa lepida",764,1144,153644,357,130,109969,235,85,186733113210.221,187436599421.009
